id,topic,difficulty,pdf_path,test_case_1,test_case_2,test_case_3,,,,,
122,Warmup,Easy,challenges/plus-minus/plus-minus.pdf,challenges/plus-minus/input/input01.txt : challenges/plus-minus/output/output01.txt , challenges/plus-minus/input/input11.txt : challenges/plus-minus/output/output11.txt,,,,,,
123,Warmup,Easy,challenges/staircase/staircase.pdf,challenges/staircase/input/input01.txt : challenges/staircase/output/output01.txt,,,,,,,
124,Warmup,Easy,challenges/mini-max-sum/mini-max-sum.pdf,challenges/mini-max-sum/input/input00.txt : challenges/mini-max-sum/output/output00.txt , challenges/mini-max-sum/input/input14.txt : challenges/mini-max-sum/output/output14.txt,,,,,,
125,Warmup,Easy,challenges/birthday-cake-candles/birthday-cake-candles.pdf,challenges/birthday-cake-candles/input/input00.txt : challenges/birthday-cake-candles/output/output00.txt,,,,,,,
126,Warmup,Easy,challenges/time-conversion/time-conversion.pdf,challenges/time-conversion/input/input00.txt : challenges/time-conversion/output/output00.txt,,,,,,,
127,Implementation,Easy,challenges/grading/grading.pdf,challenges/grading/input/input00.txt : challenges/grading/output/output00.txt,,,,,,,
128,Implementation,Easy,challenges/apple-and-orange/apple-and-orange.pdf,challenges/apple-and-orange/input/input00.txt : challenges/apple-and-orange/output/output00.txt,,,,,,,
129,Implementation,Easy,challenges/kangaroo/kangaroo.pdf,challenges/kangaroo/input/input00.txt : challenges/kangaroo/output/output00.txt , challenges/kangaroo/input/input01.txt : challenges/kangaroo/output/output01.txt,,,,,,
130,Implementation,Easy,challenges/between-two-sets/between-two-sets.pdf,challenges/between-two-sets/input/input00.txt : challenges/between-two-sets/output/output00.txt , challenges/between-two-sets/input/input08.txt : challenges/between-two-sets/output/output08.txt,,,,,,
131,Implementation,Easy,challenges/breaking-best-and-worst-records/breaking-best-and-worst-records.pdf,challenges/breaking-best-and-worst-records/input/input00.txt : challenges/breaking-best-and-worst-records/output/output00.txt , challenges/breaking-best-and-worst-records/input/input01.txt : challenges/breaking-best-and-worst-records/output/output01.txt,,,,,,
132,Implementation,Easy,challenges/the-birthday-bar/the-birthday-bar.pdf,challenges/the-birthday-bar/input/input00.txt : challenges/the-birthday-bar/output/output00.txt , challenges/the-birthday-bar/input/input01.txt : challenges/the-birthday-bar/output/output01.txt , challenges/the-birthday-bar/input/input02.txt : challenges/the-birthday-bar/output/output02.txt,,,,,
133,Implementation,Easy,challenges/divisible-sum-pairs/divisible-sum-pairs.pdf,challenges/divisible-sum-pairs/input/input00.txt : challenges/divisible-sum-pairs/output/output00.txt , challenges/divisible-sum-pairs/input/input12.txt : challenges/divisible-sum-pairs/output/output12.txt,,,,,,
134,Implementation,Easy,challenges/migratory-birds/migratory-birds.pdf,challenges/migratory-birds/input/input00.txt : challenges/migratory-birds/output/output00.txt , challenges/migratory-birds/input/input05.txt : challenges/migratory-birds/output/output05.txt,,,,,,
135,Implementation,Easy,challenges/day-of-the-programmer/day-of-the-programmer.pdf,challenges/day-of-the-programmer/input/input00.txt : challenges/day-of-the-programmer/output/output00.txt , challenges/day-of-the-programmer/input/input01.txt : challenges/day-of-the-programmer/output/output01.txt , challenges/day-of-the-programmer/input/input60.txt : challenges/day-of-the-programmer/output/output60.txt,,,,,
136,Implementation,Easy,challenges/bon-appetit/bon-appetit.pdf,challenges/bon-appetit/input/input00.txt : challenges/bon-appetit/output/output00.txt , challenges/bon-appetit/input/input06.txt : challenges/bon-appetit/output/output06.txt,,,,,,
137,Implementation,Easy,challenges/sock-merchant/sock-merchant.pdf,challenges/sock-merchant/input/input00.txt : challenges/sock-merchant/output/output00.txt , challenges/sock-merchant/input/input08.txt : challenges/sock-merchant/output/output08.txt,,,,,,
138,Implementation,Easy,challenges/drawing-book/drawing-book.pdf,challenges/drawing-book/input/input00.txt : challenges/drawing-book/output/output00.txt , challenges/drawing-book/input/input01.txt : challenges/drawing-book/output/output01.txt,,,,,,
139,Implementation,Easy,challenges/counting-valleys/counting-valleys.pdf,challenges/counting-valleys/input/input00.txt : challenges/counting-valleys/output/output00.txt , challenges/counting-valleys/input/input01.txt : challenges/counting-valleys/output/output01.txt,,,,,,
140,Implementation,Easy,challenges/electronics-shop/electronics-shop.pdf,challenges/electronics-shop/input/input00.txt : challenges/electronics-shop/output/output00.txt , challenges/electronics-shop/input/input01.txt : challenges/electronics-shop/output/output01.txt,,,,,,
141,Implementation,Easy,challenges/cats-and-a-mouse/cats-and-a-mouse.pdf,challenges/cats-and-a-mouse/input/input00.txt : challenges/cats-and-a-mouse/output/output00.txt,,,,,,,
142,Implementation,Medium,challenges/magic-square-forming/magic-square-forming.pdf,challenges/magic-square-forming/input/input00.txt : challenges/magic-square-forming/output/output00.txt , challenges/magic-square-forming/input/input22.txt : challenges/magic-square-forming/output/output22.txt,,,,,,
143,Implementation,Easy,challenges/picking-numbers/picking-numbers.pdf,challenges/picking-numbers/input/input00.txt : challenges/picking-numbers/output/output00.txt , challenges/picking-numbers/input/input01.txt : challenges/picking-numbers/output/output01.txt,,,,,,
144,Implementation,Medium,challenges/climbing-the-leaderboard/climbing-the-leaderboard.pdf,challenges/climbing-the-leaderboard/input/input00.txt : challenges/climbing-the-leaderboard/output/output00.txt , challenges/climbing-the-leaderboard/input/input11.txt : challenges/climbing-the-leaderboard/output/output11.txt,,,,,,
145,Implementation,Easy,challenges/the-hurdle-race/the-hurdle-race.pdf,challenges/the-hurdle-race/input/input00.txt : challenges/the-hurdle-race/output/output00.txt , challenges/the-hurdle-race/input/input01.txt : challenges/the-hurdle-race/output/output01.txt,,,,,,
146,Implementation,Easy,challenges/designer-pdf-viewer/designer-pdf-viewer.pdf,challenges/designer-pdf-viewer/input/input00.txt : challenges/designer-pdf-viewer/output/output00.txt , challenges/designer-pdf-viewer/input/input06.txt : challenges/designer-pdf-viewer/output/output06.txt,,,,,,
147,Implementation,Easy,challenges/utopian-tree/utopian-tree.pdf,challenges/utopian-tree/input/input00.txt : challenges/utopian-tree/output/output00.txt , challenges/utopian-tree/input/input01.txt : challenges/utopian-tree/output/output01.txt,,,,,,
148,Implementation,Easy,challenges/angry-professor/angry-professor.pdf,challenges/angry-professor/input/input00.txt : challenges/angry-professor/output/output00.txt,,,,,,,
149,Implementation,Easy,challenges/beautiful-days-at-the-movies/beautiful-days-at-the-movies.pdf,challenges/beautiful-days-at-the-movies/input/input08.txt : challenges/beautiful-days-at-the-movies/output/output08.txt , challenges/beautiful-days-at-the-movies/input/input09.txt : challenges/beautiful-days-at-the-movies/output/output09.txt,,,,,,
150,Implementation,Easy,challenges/strange-advertising/strange-advertising.pdf,challenges/strange-advertising/input/input00.txt : challenges/strange-advertising/output/output00.txt , challenges/strange-advertising/input/input01.txt : challenges/strange-advertising/output/output01.txt,,,,,,
151,Implementation,Easy,challenges/save-the-prisoner/save-the-prisoner.pdf,challenges/save-the-prisoner/input/input04.txt : challenges/save-the-prisoner/output/output04.txt , challenges/save-the-prisoner/input/input11.txt : challenges/save-the-prisoner/output/output11.txt,,,,,,
152,Implementation,Easy,challenges/circular-array-rotation/circular-array-rotation.pdf,challenges/circular-array-rotation/input/input15.txt : challenges/circular-array-rotation/output/output15.txt,,,,,,,
153,Implementation,Easy,challenges/permutation-equation/permutation-equation.pdf,challenges/permutation-equation/input/input00.txt : challenges/permutation-equation/output/output00.txt , challenges/permutation-equation/input/input11.txt : challenges/permutation-equation/output/output11.txt,,,,,,
154,Implementation,Easy,challenges/jumping-on-the-clouds-revisited/jumping-on-the-clouds-revisited.pdf,challenges/jumping-on-the-clouds-revisited/input/input00.txt : challenges/jumping-on-the-clouds-revisited/output/output00.txt , challenges/jumping-on-the-clouds-revisited/input/input08.txt : challenges/jumping-on-the-clouds-revisited/output/output08.txt,,,,,,
155,Implementation,Medium,challenges/extra-long-factorials/extra-long-factorials.pdf,challenges/extra-long-factorials/input/input00.txt : challenges/extra-long-factorials/output/output00.txt , challenges/extra-long-factorials/input/input12.txt : challenges/extra-long-factorials/output/output12.txt,,,,,,
156,Implementation,Easy,challenges/sherlock-and-squares/sherlock-and-squares.pdf,challenges/sherlock-and-squares/input/input08.txt : challenges/sherlock-and-squares/output/output08.txt , challenges/sherlock-and-squares/input/input09.txt : challenges/sherlock-and-squares/output/output09.txt,,,,,,
157,Implementation,Easy,challenges/library-fine/library-fine.pdf,challenges/library-fine/input/input01.txt : challenges/library-fine/output/output01.txt,,,,,,,
158,Implementation,Easy,challenges/cut-the-sticks/cut-the-sticks.pdf,challenges/cut-the-sticks/input/input08.txt : challenges/cut-the-sticks/output/output08.txt , challenges/cut-the-sticks/input/input09.txt : challenges/cut-the-sticks/output/output09.txt,,,,,,
159,Implementation,Medium,challenges/non-divisible-subset/non-divisible-subset.pdf,challenges/non-divisible-subset/input/input00.txt : challenges/non-divisible-subset/output/output00.txt , challenges/non-divisible-subset/input/input16.txt : challenges/non-divisible-subset/output/output16.txt,,,,,,
160,Implementation,Easy,challenges/repeated-string/repeated-string.pdf,challenges/repeated-string/input/input00.txt : challenges/repeated-string/output/output00.txt , challenges/repeated-string/input/input01.txt : challenges/repeated-string/output/output01.txt,,,,,,
161,Implementation,Easy,challenges/jumping-on-the-clouds/jumping-on-the-clouds.pdf,challenges/jumping-on-the-clouds/input/input00.txt : challenges/jumping-on-the-clouds/output/output00.txt , challenges/jumping-on-the-clouds/input/input01.txt : challenges/jumping-on-the-clouds/output/output01.txt,,,,,,
162,Implementation,Easy,challenges/equality-in-a-array/equality-in-a-array.pdf,challenges/equality-in-a-array/input/input00.txt : challenges/equality-in-a-array/output/output00.txt , challenges/equality-in-a-array/input/input17.txt : challenges/equality-in-a-array/output/output17.txt,,,,,,
163,Implementation,Medium,challenges/queens-attack-2/queens-attack-2.pdf,challenges/queens-attack-2/input/input00.txt : challenges/queens-attack-2/output/output00.txt , challenges/queens-attack-2/input/input01.txt : challenges/queens-attack-2/output/output01.txt , challenges/queens-attack-2/input/input21.txt : challenges/queens-attack-2/output/output21.txt,,,,,
164,Implementation,Easy,challenges/acm-icpc-team/acm-icpc-team.pdf,challenges/acm-icpc-team/input/input00.txt : challenges/acm-icpc-team/output/output00.txt , challenges/acm-icpc-team/input/input08.txt : challenges/acm-icpc-team/output/output08.txt,,,,,,
165,Implementation,Easy,challenges/taum-and-bday/taum-and-bday.pdf,challenges/taum-and-bday/input/input00.txt : challenges/taum-and-bday/output/output00.txt , challenges/taum-and-bday/input/input14.txt : challenges/taum-and-bday/output/output14.txt,,,,,,
166,Implementation,Medium,challenges/organizing-containers-of-balls/organizing-containers-of-balls.pdf,challenges/organizing-containers-of-balls/input/input00.txt : challenges/organizing-containers-of-balls/output/output00.txt , challenges/organizing-containers-of-balls/input/input06.txt : challenges/organizing-containers-of-balls/output/output06.txt,,,,,,
167,Implementation,Medium,challenges/encryption/encryption.pdf,challenges/encryption/input/input00.txt : challenges/encryption/output/output00.txt , challenges/encryption/input/input01.txt : challenges/encryption/output/output01.txt , challenges/encryption/input/input02.txt : challenges/encryption/output/output02.txt,,,,,
168,Implementation,Medium,challenges/bigger-is-greater/bigger-is-greater.pdf,challenges/bigger-is-greater/input/input00.txt : challenges/bigger-is-greater/output/output00.txt , challenges/bigger-is-greater/input/input04.txt : challenges/bigger-is-greater/output/output04.txt,,,,,,
169,Implementation,Easy,challenges/kaprekar-numbers/kaprekar-numbers.pdf,challenges/kaprekar-numbers/input/input00.txt : challenges/kaprekar-numbers/output/output00.txt , challenges/kaprekar-numbers/input/input01.txt : challenges/kaprekar-numbers/output/output01.txt,,,,,,
170,Implementation,Easy,challenges/beautiful-triplets/beautiful-triplets.pdf,challenges/beautiful-triplets/input/input00.txt : challenges/beautiful-triplets/output/output00.txt , challenges/beautiful-triplets/input/input10.txt : challenges/beautiful-triplets/output/output10.txt,,,,,,
171,Implementation,Easy,challenges/minimum-distances/minimum-distances.pdf,challenges/minimum-distances/input/input00.txt : challenges/minimum-distances/output/output00.txt , challenges/minimum-distances/input/input01.txt : challenges/minimum-distances/output/output01.txt,,,,,,
172,Implementation,Easy,challenges/halloween-sale/halloween-sale.pdf,challenges/halloween-sale/input/input00.txt : challenges/halloween-sale/output/output00.txt , challenges/halloween-sale/input/input01.txt : challenges/halloween-sale/output/output01.txt,,,,,,
173,Implementation,Medium,challenges/the-time-in-words/the-time-in-words.pdf,challenges/the-time-in-words/input/input00.txt : challenges/the-time-in-words/output/output00.txt , challenges/the-time-in-words/input/input01.txt : challenges/the-time-in-words/output/output01.txt , challenges/the-time-in-words/input/input10.txt : challenges/the-time-in-words/output/output10.txt,,,,,
174,Implementation,Easy,challenges/service-lane/service-lane.pdf,challenges/service-lane/input/input00.txt : challenges/service-lane/output/output00.txt , challenges/service-lane/input/input01.txt : challenges/service-lane/output/output01.txt,,,,,,
175,Implementation,Easy,challenges/lisa-workbook/lisa-workbook.pdf,challenges/lisa-workbook/input/input00.txt : challenges/lisa-workbook/output/output00.txt , challenges/lisa-workbook/input/input01.txt : challenges/lisa-workbook/output/output01.txt,,,,,,
176,Implementation,Easy,challenges/fair-rations/fair-rations.pdf,challenges/fair-rations/input/input00.txt : challenges/fair-rations/output/output00.txt , challenges/fair-rations/input/input01.txt : challenges/fair-rations/output/output01.txt,,,,,,
177,Implementation,Easy,challenges/cavity-map/cavity-map.pdf,challenges/cavity-map/input/input00.txt : challenges/cavity-map/output/output00.txt , challenges/cavity-map/input/input22.txt : challenges/cavity-map/output/output22.txt,,,,,,
178,Implementation,Easy,challenges/manasa-and-stones/manasa-and-stones.pdf,challenges/manasa-and-stones/input/input00.txt : challenges/manasa-and-stones/output/output00.txt , challenges/manasa-and-stones/input/input12.txt : challenges/manasa-and-stones/output/output12.txt,,,,,,
179,Implementation,Medium,challenges/the-grid-search/the-grid-search.pdf,challenges/the-grid-search/input/input00.txt : challenges/the-grid-search/output/output00.txt , challenges/the-grid-search/input/input01.txt : challenges/the-grid-search/output/output01.txt,,,,,,
180,Implementation,Easy,challenges/happy-ladybugs/happy-ladybugs.pdf,challenges/happy-ladybugs/input/input00.txt : challenges/happy-ladybugs/output/output00.txt , challenges/happy-ladybugs/input/input11.txt : challenges/happy-ladybugs/output/output11.txt,,,,,,
181,Implementation,Easy,challenges/strange-code/strange-code.pdf,challenges/strange-code/input/input00.txt : challenges/strange-code/output/output00.txt , challenges/strange-code/input/input11.txt : challenges/strange-code/output/output11.txt,,,,,,
182,Implementation,Medium,challenges/3d-surface-area/3d-surface-area.pdf,challenges/3d-surface-area/input/input00.txt : challenges/3d-surface-area/output/output00.txt , challenges/3d-surface-area/input/input25.txt : challenges/3d-surface-area/output/output25.txt,,,,,,
183,Implementation,Medium,challenges/absolute-permutation/absolute-permutation.pdf,challenges/absolute-permutation/input/input00.txt : challenges/absolute-permutation/output/output00.txt , challenges/absolute-permutation/input/input01.txt : challenges/absolute-permutation/output/output01.txt,,,,,,
184,Implementation,Medium,challenges/bomber-man/bomber-man.pdf,challenges/bomber-man/input/input00.txt : challenges/bomber-man/output/output00.txt , challenges/bomber-man/input/input25.txt : challenges/bomber-man/output/output25.txt,,,,,,
185,Implementation,Medium,challenges/two-pluses/two-pluses.pdf,challenges/two-pluses/input/input00.txt : challenges/two-pluses/output/output00.txt , challenges/two-pluses/input/input01.txt : challenges/two-pluses/output/output01.txt,,,,,,
186,Implementation,Medium,challenges/larrys-array/larrys-array.pdf,challenges/larrys-array/input/input00.txt : challenges/larrys-array/output/output00.txt , challenges/larrys-array/input/input21.txt : challenges/larrys-array/output/output21.txt,,,,,,
187,Implementation,Medium,challenges/almost-sorted/almost-sorted.pdf,challenges/almost-sorted/input/input00.txt : challenges/almost-sorted/output/output00.txt , challenges/almost-sorted/input/input20.txt : challenges/almost-sorted/output/output20.txt , challenges/almost-sorted/input/input21.txt : challenges/almost-sorted/output/output21.txt,,,,,
188,Implementation,Hard,challenges/matrix-rotation-algo/matrix-rotation-algo.pdf,challenges/matrix-rotation-algo/input/input00.txt : challenges/matrix-rotation-algo/output/output00.txt , challenges/matrix-rotation-algo/input/input10.txt : challenges/matrix-rotation-algo/output/output10.txt , challenges/matrix-rotation-algo/input/input11.txt : challenges/matrix-rotation-algo/output/output11.txt , challenges/matrix-rotation-algo/input/input12.txt : challenges/matrix-rotation-algo/output/output12.txt,,,,
189,Sorting,Easy,challenges/big-sorting/big-sorting.pdf,challenges/big-sorting/input/input00.txt : challenges/big-sorting/output/output00.txt , challenges/big-sorting/input/input08.txt : challenges/big-sorting/output/output08.txt,,,,,,
190,Strings,Easy,challenges/reduced-string/reduced-string.pdf,challenges/reduced-string/input/input00.txt : challenges/reduced-string/output/output00.txt , challenges/reduced-string/input/input01.txt : challenges/reduced-string/output/output01.txt , challenges/reduced-string/input/input02.txt : challenges/reduced-string/output/output02.txt,,,,,
191,Sorting,Easy,challenges/tutorial-intro/tutorial-intro.pdf,challenges/tutorial-intro/input/input00.txt : challenges/tutorial-intro/output/output00.txt,,,,,,,
192,Strings,Easy,challenges/camelcase/camelcase.pdf,challenges/camelcase/input/input00.txt : challenges/camelcase/output/output00.txt,,,,,,,
193,Sorting,Easy,challenges/insertionsort1/insertionsort1.pdf,challenges/insertionsort1/input/input00.txt : challenges/insertionsort1/output/output00.txt,,,,,,,
194,Strings,Easy,challenges/strong-password/strong-password.pdf,challenges/strong-password/input/input00.txt : challenges/strong-password/output/output00.txt , challenges/strong-password/input/input01.txt : challenges/strong-password/output/output01.txt,,,,,,
195,Strings,Easy,challenges/two-characters/two-characters.pdf,challenges/two-characters/input/input00.txt : challenges/two-characters/output/output00.txt , challenges/two-characters/input/input31.txt : challenges/two-characters/output/output31.txt , challenges/two-characters/input/input32.txt : challenges/two-characters/output/output32.txt,,,,,
196,Sorting,Easy,challenges/insertionsort2/insertionsort2.pdf,challenges/insertionsort2/input/input00.txt : challenges/insertionsort2/output/output00.txt , challenges/insertionsort2/input/input05.txt : challenges/insertionsort2/output/output05.txt,,,,,,
197,Sorting,Easy,challenges/correctness-invariant/correctness-invariant.pdf,challenges/correctness-invariant/input/input00.txt : challenges/correctness-invariant/output/output00.txt,,,,,,,
198,Strings,Easy,challenges/caesar-cipher-1/caesar-cipher-1.pdf,challenges/caesar-cipher-1/input/input05.txt : challenges/caesar-cipher-1/output/output05.txt , challenges/caesar-cipher-1/input/input11.txt : challenges/caesar-cipher-1/output/output11.txt,,,,,,
199,Strings,Easy,challenges/mars-exploration/mars-exploration.pdf,challenges/mars-exploration/input/input00.txt : challenges/mars-exploration/output/output00.txt , challenges/mars-exploration/input/input01.txt : challenges/mars-exploration/output/output01.txt , challenges/mars-exploration/input/input11.txt : challenges/mars-exploration/output/output11.txt,,,,,
200,Sorting,Easy,challenges/runningtime/runningtime.pdf,challenges/runningtime/input/input00.txt : challenges/runningtime/output/output00.txt , challenges/runningtime/input/input01.txt : challenges/runningtime/output/output01.txt , challenges/runningtime/input/input02.txt : challenges/runningtime/output/output02.txt,,,,,
201,Strings,Easy,challenges/hackerrank-in-a-string/hackerrank-in-a-string.pdf,challenges/hackerrank-in-a-string/input/input00.txt : challenges/hackerrank-in-a-string/output/output00.txt , challenges/hackerrank-in-a-string/input/input03.txt : challenges/hackerrank-in-a-string/output/output03.txt,,,,,,
202,Sorting,Easy,challenges/quicksort1/quicksort1.pdf,challenges/quicksort1/input/input00.txt : challenges/quicksort1/output/output00.txt,,,,,,,
203,Strings,Easy,challenges/pangrams/pangrams.pdf,challenges/pangrams/input/input00.txt : challenges/pangrams/output/output00.txt , challenges/pangrams/input/input01.txt : challenges/pangrams/output/output01.txt,,,,,,
204,Strings,Easy,challenges/weighted-uniform-string/weighted-uniform-string.pdf,challenges/weighted-uniform-string/input/input00.txt : challenges/weighted-uniform-string/output/output00.txt , challenges/weighted-uniform-string/input/input31.txt : challenges/weighted-uniform-string/output/output31.txt,,,,,,
205,Strings,Easy,challenges/separate-the-numbers/separate-the-numbers.pdf,challenges/separate-the-numbers/input/input00.txt : challenges/separate-the-numbers/output/output00.txt , challenges/separate-the-numbers/input/input21.txt : challenges/separate-the-numbers/output/output21.txt,,,,,,
206,Strings,Easy,challenges/funny-string/funny-string.pdf,challenges/funny-string/input/input00.txt : challenges/funny-string/output/output00.txt , challenges/funny-string/input/input01.txt : challenges/funny-string/output/output01.txt,,,,,,
207,Sorting,Easy,challenges/countingsort1/countingsort1.pdf,challenges/countingsort1/input/input00.txt : challenges/countingsort1/output/output00.txt , challenges/countingsort1/input/input05.txt : challenges/countingsort1/output/output05.txt,,,,,,
208,Sorting,Easy,challenges/countingsort2/countingsort2.pdf,challenges/countingsort2/input/input00.txt : challenges/countingsort2/output/output00.txt , challenges/countingsort2/input/input04.txt : challenges/countingsort2/output/output04.txt,,,,,,
209,Strings,Easy,challenges/gem-stones/gem-stones.pdf,challenges/gem-stones/input/input27.txt : challenges/gem-stones/output/output27.txt , challenges/gem-stones/input/input28.txt : challenges/gem-stones/output/output28.txt , challenges/gem-stones/input/input29.txt : challenges/gem-stones/output/output29.txt,,,,,
210,Strings,Easy,challenges/alternating-characters/alternating-characters.pdf,challenges/alternating-characters/input/input00.txt : challenges/alternating-characters/output/output00.txt , challenges/alternating-characters/input/input13.txt : challenges/alternating-characters/output/output13.txt , challenges/alternating-characters/input/input14.txt : challenges/alternating-characters/output/output14.txt,,,,,
211,Sorting,Medium,challenges/countingsort4/countingsort4.pdf,challenges/countingsort4/input/input00.txt : challenges/countingsort4/output/output00.txt , challenges/countingsort4/input/input06.txt : challenges/countingsort4/output/output06.txt,,,,,,
212,Strings,Easy,challenges/beautiful-binary-string/beautiful-binary-string.pdf,challenges/beautiful-binary-string/input/input00.txt : challenges/beautiful-binary-string/output/output00.txt , challenges/beautiful-binary-string/input/input01.txt : challenges/beautiful-binary-string/output/output01.txt , challenges/beautiful-binary-string/input/input11.txt : challenges/beautiful-binary-string/output/output11.txt,,,,,
213,Sorting,Easy,challenges/closest-numbers/closest-numbers.pdf,challenges/closest-numbers/input/input00.txt : challenges/closest-numbers/output/output00.txt , challenges/closest-numbers/input/input05.txt : challenges/closest-numbers/output/output05.txt,,,,,,
214,Strings,Easy,challenges/the-love-letter-mystery/the-love-letter-mystery.pdf,challenges/the-love-letter-mystery/input/input00.txt : challenges/the-love-letter-mystery/output/output00.txt , challenges/the-love-letter-mystery/input/input12.txt : challenges/the-love-letter-mystery/output/output12.txt,,,,,,
215,Sorting,Easy,challenges/find-the-median/find-the-median.pdf,challenges/find-the-median/input/input00.txt : challenges/find-the-median/output/output00.txt,,,,,,,
216,Strings,Hard,challenges/determining-dna-health/determining-dna-health.pdf,challenges/determining-dna-health/input/input00.txt : challenges/determining-dna-health/output/output00.txt,,,,,,,
217,Sorting,Advanced,challenges/insertion-sort/insertion-sort.pdf,challenges/insertion-sort/input/input00.txt : challenges/insertion-sort/output/output00.txt , challenges/insertion-sort/input/input14.txt : challenges/insertion-sort/output/output14.txt,,,,,,
218,Strings,Easy,challenges/palindrome-index/palindrome-index.pdf,challenges/palindrome-index/input/input00.txt : challenges/palindrome-index/output/output00.txt,,,,,,,
219,Sorting,Medium,challenges/fraudulent-activity-notifications/fraudulent-activity-notifications.pdf,challenges/fraudulent-activity-notifications/input/input00.txt : challenges/fraudulent-activity-notifications/output/output00.txt , challenges/fraudulent-activity-notifications/input/input06.txt : challenges/fraudulent-activity-notifications/output/output06.txt , challenges/fraudulent-activity-notifications/input/input07.txt : challenges/fraudulent-activity-notifications/output/output07.txt,,,,,
220,Strings,Easy,challenges/anagram/anagram.pdf,challenges/anagram/input/input14.txt : challenges/anagram/output/output14.txt , challenges/anagram/input/input15.txt : challenges/anagram/output/output15.txt,,,,,,
221,Strings,Easy,challenges/making-anagrams/making-anagrams.pdf,challenges/making-anagrams/input/input00.txt : challenges/making-anagrams/output/output00.txt , challenges/making-anagrams/input/input15.txt : challenges/making-anagrams/output/output15.txt,,,,,,
222,Sorting,Medium,challenges/lilys-homework/lilys-homework.pdf,challenges/lilys-homework/input/input00.txt : challenges/lilys-homework/output/output00.txt , challenges/lilys-homework/input/input11.txt : challenges/lilys-homework/output/output11.txt,,,,,,
223,Strings,Easy,challenges/game-of-thrones/game-of-thrones.pdf,challenges/game-of-thrones/input/input00.txt : challenges/game-of-thrones/output/output00.txt , challenges/game-of-thrones/input/input01.txt : challenges/game-of-thrones/output/output01.txt , challenges/game-of-thrones/input/input02.txt : challenges/game-of-thrones/output/output02.txt,,,,,
224,Strings,Easy,challenges/two-strings/two-strings.pdf,challenges/two-strings/input/input00.txt : challenges/two-strings/output/output00.txt , challenges/two-strings/input/input06.txt : challenges/two-strings/output/output06.txt , challenges/two-strings/input/input07.txt : challenges/two-strings/output/output07.txt,,,,,
225,Strings,Easy,challenges/string-construction/string-construction.pdf,challenges/string-construction/input/input00.txt : challenges/string-construction/output/output00.txt , challenges/string-construction/input/input12.txt : challenges/string-construction/output/output12.txt,,,,,,
226,Strings,Medium,challenges/sherlock-and-valid-string/sherlock-and-valid-string.pdf,challenges/sherlock-and-valid-string/input/input00.txt : challenges/sherlock-and-valid-string/output/output00.txt , challenges/sherlock-and-valid-string/input/input01.txt : challenges/sherlock-and-valid-string/output/output01.txt , challenges/sherlock-and-valid-string/input/input18.txt : challenges/sherlock-and-valid-string/output/output18.txt,,,,,
227,Strings,Medium,challenges/richie-rich/richie-rich.pdf,challenges/richie-rich/input/input00.txt : challenges/richie-rich/output/output00.txt , challenges/richie-rich/input/input31.txt : challenges/richie-rich/output/output31.txt , challenges/richie-rich/input/input32.txt : challenges/richie-rich/output/output32.txt,,,,,
228,Strings,Medium,challenges/maximum-palindromes/maximum-palindromes.pdf,challenges/maximum-palindromes/input/input00.txt : challenges/maximum-palindromes/output/output00.txt , challenges/maximum-palindromes/input/input01.txt : challenges/maximum-palindromes/output/output01.txt,,,,,,
229,Strings,Medium,challenges/sherlock-and-anagrams/sherlock-and-anagrams.pdf,challenges/sherlock-and-anagrams/input/input00.txt : challenges/sherlock-and-anagrams/output/output00.txt , challenges/sherlock-and-anagrams/input/input01.txt : challenges/sherlock-and-anagrams/output/output01.txt , challenges/sherlock-and-anagrams/input/input06.txt : challenges/sherlock-and-anagrams/output/output06.txt,,,,,
230,Strings,Medium,challenges/common-child/common-child.pdf,challenges/common-child/input/input06.txt : challenges/common-child/output/output06.txt , challenges/common-child/input/input07.txt : challenges/common-child/output/output07.txt , challenges/common-child/input/input14.txt : challenges/common-child/output/output14.txt,,,,,
231,Strings,Medium,challenges/bear-and-steady-gene/bear-and-steady-gene.pdf,challenges/bear-and-steady-gene/input/input00.txt : challenges/bear-and-steady-gene/output/output00.txt , challenges/bear-and-steady-gene/input/input01.txt : challenges/bear-and-steady-gene/output/output01.txt,,,,,,
232,Strings,Expert,challenges/morgan-and-a-string/morgan-and-a-string.pdf,challenges/morgan-and-a-string/input/input00.txt : challenges/morgan-and-a-string/output/output00.txt,,,,,,,
233,Strings,Hard,challenges/count-strings/count-strings.pdf,challenges/count-strings/input/input00.txt : challenges/count-strings/output/output00.txt , challenges/count-strings/input/input01.txt : challenges/count-strings/output/output01.txt , challenges/count-strings/input/input05.txt : challenges/count-strings/output/output05.txt , challenges/count-strings/input/input06.txt : challenges/count-strings/output/output06.txt , challenges/count-strings/input/input07.txt : challenges/count-strings/output/output07.txt , challenges/count-strings/input/input08.txt : challenges/count-strings/output/output08.txt , challenges/count-strings/input/input09.txt : challenges/count-strings/output/output09.txt , challenges/count-strings/input/input10.txt : challenges/count-strings/output/output10.txt
234,Strings,Advanced,challenges/challenging-palindromes/challenging-palindromes.pdf,challenges/challenging-palindromes/input/input00.txt : challenges/challenging-palindromes/output/output00.txt,,,,,,,
235,Strings,Hard,challenges/build-a-string/build-a-string.pdf,challenges/build-a-string/input/input00.txt : challenges/build-a-string/output/output00.txt,,,,,,,
